File,width,height,x,y,background
24grid_WhiteA1.png,1920,1080,160,135,1
24grid_BlackA1.png,1920,1080,160,135,2
24grid_WhiteA2.png,1920,1080,160,405,1
24grid_BlackA2.png,1920,1080,160,405,2
24grid_WhiteA3.png,1920,1080,160,675,1
24grid_BlackA3.png,1920,1080,160,675,2
24grid_WhiteA4.png,1920,1080,160,945,1
24grid_BlackA4.png,1920,1080,160,945,2
24grid_WhiteB1.png,1920,1080,480,135,1
24grid_BlackB1.png,1920,1080,480,135,2
24grid_WhiteB2.png,1920,1080,480,405,1
24grid_BlackB2.png,1920,1080,480,405,2
24grid_WhiteB3.png,1920,1080,480,675,1
24grid_BlackB3.png,1920,1080,480,675,2
24grid_WhiteB4.png,1920,1080,480,945,1
24grid_BlackB4.png,1920,1080,480,945,2
24grid_WhiteC1.png,1920,1080,800,135,1
24grid_BlackC1.png,1920,1080,800,135,2
24grid_WhiteC2.png,1920,1080,800,405,1
24grid_BlackC2.png,1920,1080,800,405,2
24grid_WhiteC3.png,1920,1080,800,675,1
24grid_BlackC3.png,1920,1080,800,675,2
24grid_WhiteC4.png,1920,1080,800,945,1
24grid_BlackC4.png,1920,1080,800,945,2
24grid_WhiteD1.png,1920,1080,1120,135,1
24grid_BlackD1.png,1920,1080,1120,135,2
24grid_WhiteD2.png,1920,1080,1120,405,1
24grid_BlackD2.png,1920,1080,1120,405,2
24grid_WhiteD3.png,1920,1080,1120,675,1
24grid_BlackD3.png,1920,1080,1120,675,2
24grid_WhiteD4.png,1920,1080,1120,945,1
24grid_BlackD4.png,1920,1080,1120,945,2
24grid_WhiteE1.png,1920,1080,1440,135,1
24grid_BlackE1.png,1920,1080,1440,135,2
24grid_WhiteE2.png,1920,1080,1440,405,1
24grid_BlackE2.png,1920,1080,1440,405,2
24grid_WhiteE3.png,1920,1080,1440,675,1
24grid_BlackE3.png,1920,1080,1440,675,2
24grid_WhiteE4.png,1920,1080,1440,945,1
24grid_BlackE4.png,1920,1080,1440,945,2
24grid_WhiteF1.png,1920,1080,1760,135,1
24grid_BlackF1.png,1920,1080,1760,135,2
24grid_WhiteF2.png,1920,1080,1760,405,1
24grid_BlackF2.png,1920,1080,1760,405,2
24grid_WhiteF3.png,1920,1080,1760,675,1
24grid_BlackF3.png,1920,1080,1760,675,2
24grid_WhiteF4.png,1920,1080,1760,945,1
24grid_BlackF4.png,1920,1080,1760,945,2
